ProductID,ProductName,ProductGroupID,Description,Manufacturer,WarrantyPeriod,UnitPrice,StockLevel,SKU,Barcode
c14f580e-8975-42f8-9a53-3e5f85380f45,where,ccb83c8f-72d6-4ee3-a284-b617c70b597e,Exist move home spend appear news manager.,Williams-Miller,27,725.9153197705336,83,60901033,8914292271234
909b4187-8b78-470c-863f-64e013c63393,positive,b098a15c-48cf-43a8-9721-263f6d930d3a,Lose there decision down.,"Miller, Tanner and Malone",28,857.1047144963521,247,77584137,5533182159426
b836e4f3-17f5-4727-b689-716cc6725d34,when,dc62fe05-6647-4f9e-b5e5-8c00417b2eac,Difficult lot direction five indeed last.,"Brown, Taylor and Ortega",28,261.9793017494284,107,17629386,0545295837264
071d35ed-3ebb-4fd6-894e-7c365c375b76,fact,a95cc52d-46dd-4234-8cd0-3cbe6483e4ac,Blue ask economic admit girl must.,Brooks PLC,25,595.8206241548532,34,58136812,2271285008564
37892df3-fe6a-4292-8df1-474823cb1cff,operation,707a4cc9-80e7-4329-aadf-49410e075b2e,Science man religious agent religious better statement.,Sandoval-Elliott,33,160.68088241542992,44,16586475,8279447029062
6cc01ff3-3eca-45c9-8196-281b57cbf1e2,population,b3f608b8-8bd7-491f-bfe0-86d7406170c5,Wrong even ground music such share.,Conway-Beck,17,291.3564723224952,280,51952112,8714840125145
5845b7ff-9bed-40c8-9043-b7b5c62eedc1,current,af6ef70b-48d7-40fa-9509-c19416793eac,Character century want some environmental describe free.,Mitchell Inc,29,408.66541361077907,485,65142431,0071703332743
972a2632-4993-4ea6-8b05-d427d8fc4c93,summer,528b2807-13c9-4600-b946-6a359255b3eb,Reveal clear cold walk magazine.,"Spencer, Wilkins and Morales",11,79.46491593660424,432,04102908,2839582088742
f75fcbaf-be74-42f9-bed4-7d3dd54d10e5,eye,fd8eb558-bbdc-4a48-a2d5-cf85e30dfaac,Thousand point magazine this run interesting reveal common.,"Weeks, Hughes and Bailey",10,671.4038690442579,294,27092576,3770879907058
b6c9b40f-1665-4700-a603-75917249f65f,successful,22d9114a-da12-4767-8630-96db1a1868c0,Ever keep condition theory contain money.,"Olsen, Whitaker and Zimmerman",22,809.5421511068503,193,10177402,5823281463730
66556e4c-5614-412c-a19c-c80a07a15675,color,b226eb0e-329e-4a0a-833a-e9ade2b0e3f4,Leg call later believe myself forget follow risk.,King Group,33,587.9641207968153,189,06489007,5998631910988
b4523b71-a823-43f5-ade3-8b667f48dcb1,great,759ad253-856d-424d-b0a4-15fa53a6b104,Sound start marriage book apply character.,"Aguilar, Hall and Bell",33,576.846867990931,417,81303731,6108591815387
cfe0d83c-4d70-4daa-a29b-a7fbbb895de3,score,f0e3d9c6-1ffd-401d-a550-88d757a0bc34,A course deep.,Winters-Yang,19,308.6436518970339,201,40759579,4357061315519
30e44a27-0374-450e-848d-59b0651718c0,use,7cb95063-cc2b-46a1-8d1b-d9c067e9522a,Soldier both letter sit simple recognize.,"Ortiz, Foster and Ellis",22,593.4456487410641,247,37921866,3750287533971
5439c045-7c20-4b94-8850-e0569f00b7d2,less,2c376f21-e6f5-4eb0-827f-c8b784ce0019,Personal among author.,Burns-Martinez,35,642.186122999212,51,13484309,2163570932060
0bf5d3a4-0f41-44d3-a947-66314e3fc226,speak,49d81138-b141-4837-bfa8-3abd0c4c2cc5,Difficult big our responsibility woman should than.,Jenkins-Peters,6,128.89969011488347,446,97369578,9504721477857
4ed5d9f4-182a-4001-b717-42abab7d46c1,today,d6c7df2c-e027-4ad2-a9a9-0afaf0253b93,Structure address social feeling.,"Cain, Miles and Palmer",17,149.49621313984963,364,42973096,8091848670618
d43a2ebd-a393-4bf5-83cf-bd706447b21f,attorney,5c8d0bc6-25bb-420e-8b17-6fb02fbf8695,Meeting firm treat area method study among.,Vargas PLC,20,155.76969557131181,131,97941040,3176596394537
f72f7af0-8145-4ec7-9243-9b21f810e30d,return,3adef3da-0bbe-4bf9-b1a6-0d3d3365433e,Eight again economy.,Sanders-Johnson,31,465.8546707580495,419,79780926,6738820734365
